"CODALM";"CODPDT";"LOCALIZ";"SISVAL";"PVP1";"PRESTA";"PREULT";"PREMED";"CANEXI";"CODPRV";"STOCKMIN";"STOCKMAX"
"01";"1852-97";"E";"M";118,82610;0,00000;31,48937;31,49003;0,00;"00001";0,00;0,00
"01";"5M2555";"E";"M";41,31357;0,00000;32,01591;0,19200;0,00;"3";0,00;0,00
"01";"1T0655";"E";"M";95,95000;0,00000;75,56000;75,56000;0,00;"2";0,00;0,00
"01";"9S5279";"E";"M";190,88745;0,00000;127,68502;127,68502;0,00;"2";0,00;0,00
"01";"5P3867";"E";"M";152,68713;0,00000;0,00000;0,00000;0,00;"2";0,00;0,00
"01";"1T0762";"E";"M";9,20000;0,00000;4,87000;0,00000;0,00;"3";0,00;0,00
"01";"1T1078";;"M";39,02000;0,00000;19,09000;0,00000;0,00;"3";0,00;0,00
"01";"1T0763";"07050418";"M";6,75000;0,00000;3,14000;3,14000;0,00;"2";0,00;0,00
"01";"4S8546";"E";"M";370,90260;0,00000;0,00000;0,00000;0,00;"3";0,00;0,00
"01";"5P9301";"E";"M";61,04000;0,00000;42,73000;42,73000;0,00;"2";0,00;0,00
"01";"5P5045";"E";"M";225,96252;0,00000;114,88000;114,88000;0,00;"3";0,00;0,00
"01";"5P5410";"E";"M";213,01071;0,00000;86,43000;86,43000;0,00;"3";0,00;0,00
"01";"2S0669";"E";"M";7,49000;0,00000;0,00000;6,00556;0,00;"2";0,00;0,00
"01";"5D2989";"E";"M";17,24000;0,00000;8,34000;0,00000;0,00;"3";0,00;0,00
"01";"8P2036";"E";"M";9,65225;0,00000;0,00000;0,00000;0,00;"3";0,00;0,00
"01";"7G0891";"E";"M";7,71700;0,00000;0,00000;0,00000;0,00;"3";0,00;0,00
"01";"7G0894";"E";"M";9,18346;0,00000;0,00000;0,00000;0,00;"3";0,00;0,00
"01";"9P8624";"E";"M";103,55439;0,00000;80,25916;0,48200;0,00;"3";0,00;0,00
"01";"8P2042";"E";"M";81,94000;0,00000;0,00000;2,69000;0,00;"3";0,00;0,00
"01";"9P8623";"E";"M";109,98000;0,00000;71,11175;0,42600;0,00;"3";0,00;0,00
"01";"9G0289";"E";"M";89,02000;0,00000;57,53489;0,34600;0,00;"3";0,00;0,00
"01";"9P1861";"E";"M";90,47636;0,00000;0,00000;0,00000;0,00;"3";0,00;0,00
"01";"7G3129";"E";"M";139,66319;0,00000;0,00000;0,00000;0,00;"3";0,00;0,00
"01";"8P2052";;"M";38,85543;0,00000;24,26286;24,26286;0,00;"3";0,00;0,00
"01";"6P7358";"E";"M";3177,50000;0,00000;735,93000;0,00000;0,00;"3";0,00;0,00
"01";"3S2708";"E";"M";5,95002;0,00000;0,00000;0,91333;0,00;"3";0,00;0,00
"01";"8T6673";"E";"M";115,43000;0,00000;76,41268;76,41268;0,00;"2";0,00;0,00
"01";"8T6672";"E";"M";610,47000;0,00000;479,30715;479,30715;0,00;"2";0,00;0,00
"01";"8T6671";"E";"M";39,71000;0,00000;26,32000;26,32000;0,00;"2";0,00;0,00
"01";"8T6674";"E";"M";37,91000;0,00000;25,13000;25,13000;0,00;"2";0,00;0,00
"01";"8E8305";"E";"M";11,23000;0,00000;7,03000;0,00000;0,00;"3";0,00;0,00
"01";"8E8299";"07040402";"M";8,89000;0,00000;0,00000;3,77780;24,00;"3";0,00;0,00
"01";"8E8304";"E";"M";10,68000;0,00000;6,56000;0,00000;0,00;"3";0,00;0,00
"01";"8H8257";"E";"M";8,30000;0,00000;4,40000;4,40000;0,00;"2";0,00;0,00
"01";"4909-23";"E";"M";1,98334;0,00000;1,32223;0,00796;0,00;"90";0,00;0,00
"01";"4909-22";"E";"M";17,97026;0,00000;12,02024;12,02024;0,00;"4002";0,00;0,00
"01";"4909-18";"E";"M";89,85131;0,00000;60,10121;60,10121;0,00;"4002";0,00;0,00
"01";"4909-19";"E";"M";98,83644;0,00000;66,11133;66,11133;0,00;"4002";0,00;0,00
"01";"4909-20";"E";"M";44,92565;0,00000;30,05061;30,05061;0,00;"4002";0,00;0,00
"01";"4909-21";"E";"M";22,46583;0,00000;0,00000;15,02530;-2,00;"4002";0,00;0,00
"01";"1R0734";"070401";"M";9,57000;0,00000;7,42000;7,42000;2,00;"3";0,00;0,00
"01";"6K2036";"E";"M";79,80239;0,00000;53,38190;53,38190;0,00;"2";0,00;0,00
"01";"1P5480";"E";"M";110,89274;0,00000;74,17691;74,17691;0,00;"2";0,00;0,00
"01";"2P7850";"E";"M";224,62827;0,00000;150,25303;150,25303;0,00;"2";0,00;0,00
"01";"8A2248";"E";"M";94,34688;0,00000;63,10627;63,10627;0,00;"2";0,00;0,00
"01";"1P6059";;"M";73,67807;0,00000;49,28299;49,28299;0,00;"2";0,00;0,00
"01";"2N1287";"E";"M";7,89129;0,00000;5,27689;5,27689;0,00;"2";0,00;0,00
"01";"7X7894";"E";"M";4,08688;0,00000;2,16000;2,31671;0,00;"2";0,00;0,00
"01";"5P8907";"01020504";"M";4,71795;0,00000;0,00000;1,72333;0,00;"3";0,00;0,00
"01";"5P4932";"01020504";"M";4,13000;0,00000;0,00000;1,58333;0,00;"3";0,00;0,00
"01";"5P9040";"01020504";"M";6,87558;0,00000;0,00000;3,27444;0,00;"2";0,00;0,00
"01";"1852-98";"E";"M";38,22437;0,00000;20,45004;20,45245;0,00;"00001";0,00;0,00
"01";"4201-22-F";"E";"M";1,81000;0,00000;0,89104;0,89100;0,00;"17";0,00;0,00
"01";"4202-22X100";"E";"M";1,65278;0,00000;5,61465;5,61500;0,00;"94";0,00;0,00
